trip_id,timestamp,left_turn,left_turn_success,rain,num_vehivles_around
1,1/1/2020 13:35:00,TRUE,FALSE,FALSE,2
1,1/1/2020 13:41:00,FALSE,FALSE,FALSE,0
1,1/1/2020 13:49:00,TRUE,FALSE,FALSE,4
1,1/1/2020 13:59:00,FALSE,FALSE,FALSE,5
1,1/1/2020 14:08:00,FALSE,FALSE,FALSE,2
1,1/1/2020 14:09:00,TRUE,FALSE,FALSE,1
1,1/1/2020 14:14:00,FALSE,FALSE,FALSE,0
1,1/1/2020 14:16:00,TRUE,FALSE,FALSE,7
1,1/1/2020 14:19:00,TRUE,TRUE,FALSE,0
1,1/1/2020 14:25:00,TRUE,TRUE,FALSE,0
1,1/1/2020 14:27:00,FALSE,FALSE,FALSE,5
1,1/1/2020 14:33:00,TRUE,FALSE,FALSE,6
1,1/1/2020 14:40:00,FALSE,FALSE,FALSE,6
1,1/1/2020 14:46:00,FALSE,FALSE,FALSE,8
1,1/1/2020 14:54:00,TRUE,FALSE,FALSE,6
1,1/1/2020 14:55:00,FALSE,FALSE,FALSE,2
2,1/16/2020 19:00:00,TRUE,FALSE,FALSE,5
2,1/16/2020 19:03:00,FALSE,FALSE,FALSE,2
2,1/16/2020 19:09:00,TRUE,FALSE,FALSE,0
2,1/16/2020 19:12:00,FALSE,FALSE,FALSE,6
2,1/16/2020 19:13:00,TRUE,FALSE,FALSE,2
2,1/16/2020 19:20:00,FALSE,FALSE,FALSE,4
2,1/16/2020 19:27:00,TRUE,TRUE,FALSE,3
2,1/16/2020 19:29:00,TRUE,FALSE,FALSE,0
3,2/26/2020 2:00:00,TRUE,FALSE,FALSE,7
3,2/26/2020 2:04:00,TRUE,TRUE,FALSE,3
3,2/26/2020 2:11:00,FALSE,FALSE,FALSE,1
3,2/26/2020 2:12:00,TRUE,TRUE,FALSE,3
3,2/26/2020 2:19:00,FALSE,FALSE,FALSE,1
3,2/26/2020 2:26:00,TRUE,TRUE,FALSE,5
3,2/26/2020 2:27:00,FALSE,FALSE,FALSE,4
3,2/26/2020 2:34:00,TRUE,TRUE,FALSE,7
3,2/26/2020 2:35:00,FALSE,FALSE,FALSE,8
3,2/26/2020 2:44:00,TRUE,TRUE,FALSE,6
3,2/26/2020 2:49:00,TRUE,FALSE,FALSE,0
4,1/15/2020 4:00:00,TRUE,FALSE,FALSE,6
4,1/15/2020 4:02:00,FALSE,FALSE,FALSE,5
4,1/15/2020 4:03:00,TRUE,FALSE,FALSE,8
4,1/15/2020 4:04:00,TRUE,FALSE,FALSE,7
4,1/15/2020 4:09:00,TRUE,FALSE,FALSE,7
4,1/15/2020 4:18:00,TRUE,FALSE,FALSE,4
4,1/15/2020 4:24:00,TRUE,FALSE,FALSE,3
4,1/15/2020 4:33:00,TRUE,TRUE,FALSE,5
4,1/15/2020 4:40:00,FALSE,FALSE,FALSE,1
4,1/15/2020 4:50:00,TRUE,TRUE,FALSE,6
4,1/15/2020 4:56:00,FALSE,FALSE,FALSE,0
4,1/15/2020 5:03:00,FALSE,FALSE,FALSE,2
4,1/15/2020 5:11:00,TRUE,FALSE,FALSE,7
4,1/15/2020 5:17:00,FALSE,FALSE,FALSE,7
4,1/15/2020 5:21:00,FALSE,FALSE,FALSE,8
4,1/15/2020 5:23:00,TRUE,TRUE,FALSE,2
4,1/15/2020 5:30:00,FALSE,FALSE,FALSE,6
4,1/15/2020 5:40:00,FALSE,FALSE,FALSE,4
4,1/15/2020 5:47:00,TRUE,FALSE,FALSE,8
4,1/15/2020 5:49:00,FALSE,FALSE,FALSE,2
4,1/15/2020 5:57:00,FALSE,FALSE,FALSE,0
4,1/15/2020 6:06:00,FALSE,FALSE,FALSE,0
4,1/15/2020 6:07:00,FALSE,FALSE,FALSE,2
4,1/15/2020 6:17:00,TRUE,FALSE,FALSE,3
4,1/15/2020 6:25:00,FALSE,FALSE,FALSE,0
4,1/15/2020 6:30:00,FALSE,FALSE,FALSE,5
4,1/15/2020 6:38:00,TRUE,FALSE,FALSE,1
4,1/15/2020 6:47:00,TRUE,FALSE,FALSE,8
4,1/15/2020 6:56:00,TRUE,TRUE,FALSE,3
4,1/15/2020 7:06:00,FALSE,FALSE,FALSE,2
4,1/15/2020 7:07:00,TRUE,FALSE,FALSE,3
4,1/15/2020 7:12:00,TRUE,FALSE,FALSE,2
4,1/15/2020 7:13:00,TRUE,FALSE,FALSE,5
4,1/15/2020 7:17:00,TRUE,TRUE,FALSE,8
4,1/15/2020 7:27:00,FALSE,FALSE,FALSE,6
4,1/15/2020 7:32:00,TRUE,FALSE,FALSE,5
4,1/15/2020 7:34:00,TRUE,FALSE,FALSE,4
4,1/15/2020 7:37:00,TRUE,FALSE,FALSE,5
4,1/15/2020 7:44:00,TRUE,FALSE,FALSE,7
4,1/15/2020 7:48:00,TRUE,TRUE,FALSE,3
4,1/15/2020 7:49:00,TRUE,FALSE,FALSE,5
